mean,variance,skew,histogram,histogram_tuple,frequency,sorted_set,is_used,log_frequency,sqrt_frequency
2.0,2.8,0.2561204162859415,"[1, 2, 0, 0, 2, 0]","(1, 2, 0, 0, 2, 0)",0,"{0, 1, 1, 4, 4}",False,0.0,0.0
2.2,3.7600000000000002,0.37526177257500737,"[1, 2, 0, 0, 1, 1]","(1, 2, 0, 0, 1, 1)",1,"{0, 1, 1, 4, 5}",True,0.6931471805599453,1.0
2.4,4.640000000000001,0.31696273240565764,"[1, 2, 0, 0, 0, 2]","(1, 2, 0, 0, 0, 2)",0,"{0, 1, 1, 5, 5}",False,0.0,0.0
1.4,0.64,-0.8437499999999996,"[1, 1, 3, 0, 0, 0]","(1, 1, 3, 0, 0, 0)",0,"{0, 1, 2, 2, 2}",False,0.0,0.0
1.6,1.0400000000000003,-0.2715454178836397,"[1, 1, 2, 1, 0, 0]","(1, 1, 2, 1, 0, 0)",0,"{0, 1, 2, 2, 3}",False,0.0,0.0
1.8,1.7600000000000002,0.3700366501636191,"[1, 1, 2, 0, 1, 0]","(1, 1, 2, 0, 1, 0)",0,"{0, 1, 2, 2, 4}",False,0.0,0.0
2.0,2.8,0.7683612488578246,"[1, 1, 2, 0, 0, 1]","(1, 1, 2, 0, 0, 1)",0,"{0, 1, 2, 2, 5}",False,0.0,0.0
1.8,1.36,-0.36317347441943065,"[1, 1, 1, 2, 0, 0]","(1, 1, 1, 2, 0, 0)",0,"{0, 1, 2, 3, 3}",False,0.0,0.0
2.0,2.0,0.0,"[1, 1, 1, 1, 1, 0]","(1, 1, 1, 1, 1, 0)",0,"{0, 1, 2, 3, 4}",False,0.0,0.0
2.2,2.96,0.3958703373438166,"[1, 1, 1, 1, 0, 1]","(1, 1, 1, 1, 0, 1)",0,"{0, 1, 2, 3, 5}",False,0.0,0.0
2.2,2.56,-0.035156250000000465,"[1, 1, 1, 0, 2, 0]","(1, 1, 1, 0, 2, 0)",0,"{0, 1, 2, 4, 4}",False,0.0,0.0
2.4,3.4400000000000004,0.157987551437596,"[1, 1, 1, 0, 1, 1]","(1, 1, 1, 0, 1, 1)",0,"{0, 1, 2, 4, 5}",False,0.0,0.0
2.6,4.24,0.13194826809381685,"[1, 1, 1, 0, 0, 2]","(1, 1, 1, 0, 0, 2)",0,"{0, 1, 2, 5, 5}",False,0.0,0.0
2.0,1.6,-0.592927061281571,"[1, 1, 0, 3, 0, 0]","(1, 1, 0, 3, 0, 0)",0,"{0, 1, 3, 3, 3}",False,0.0,0.0
2.2,2.16,-0.3477670622469948,"[1, 1, 0, 2, 1, 0]","(1, 1, 0, 2, 1, 0)",0,"{0, 1, 3, 3, 4}",False,0.0,0.0
2.4,3.04,0.05433530539039652,"[1, 1, 0, 2, 0, 1]","(1, 1, 0, 2, 0, 1)",1,"{0, 1, 3, 3, 5}",True,0.6931471805599453,1.0
2.4,2.64,-0.3804646084815737,"[1, 1, 0, 1, 2, 0]","(1, 1, 0, 1, 2, 0)",0,"{0, 1, 3, 4, 4}",False,0.0,0.0
2.6,3.44,-0.15798755143759596,"[1, 1, 0, 1, 1, 1]","(1, 1, 0, 1, 1, 1)",2,"{0, 1, 3, 4, 5}",True,1.0986122886681098,1.4142135623730951
2.8,4.16,-0.15274429755954683,"[1, 1, 0, 1, 0, 2]","(1, 1, 0, 1, 0, 2)",0,"{0, 1, 3, 5, 5}",False,0.0,0.0
2.6,3.0399999999999996,-0.5071295169770316,"[1, 1, 0, 0, 3, 0]","(1, 1, 0, 0, 3, 0)",0,"{0, 1, 4, 4, 4}",False,0.0,0.0
2.8,3.7600000000000002,-0.37526177257500737,"[1, 1, 0, 0, 2, 1]","(1, 1, 0, 0, 2, 1)",0,"{0, 1, 4, 4, 5}",False,0.0,0.0
3.0,4.4,-0.39005287741865136,"[1, 1, 0, 0, 1, 2]","(1, 1, 0, 0, 1, 2)",0,"{0, 1, 4, 5, 5}",False,0.0,0.0
3.2,4.959999999999999,-0.4692912730377025,"[1, 1, 0, 0, 0, 3]","(1, 1, 0, 0, 0, 3)",0,"{0, 1, 5, 5, 5}",False,0.0,0.0
1.6,0.6400000000000002,-1.4999999999999996,"[1, 0, 4, 0, 0, 0]","(1, 0, 4, 0, 0, 0)",0,"{0, 2, 2, 2, 2}",False,0.0,0.0
1.8,0.9600000000000002,-0.8675276172357088,"[1, 0, 3, 1, 0, 0]","(1, 0, 3, 1, 0, 0)",0,"{0, 2, 2, 2, 3}",False,0.0,0.0
2.0,1.6,0.0,"[1, 0, 3, 0, 1, 0]","(1, 0, 3, 0, 1, 0)",0,"{0, 2, 2, 2, 4}",False,0.0,0.0
2.2,2.56,0.5507812499999994,"[1, 0, 3, 0, 0, 1]","(1, 0, 3, 0, 0, 1)",0,"{0, 2, 2, 2, 5}",False,0.0,0.0
2.0,1.2,-0.9128709291752769,"[1, 0, 2, 2, 0, 0]","(1, 0, 2, 2, 0, 0)",0,"{0, 2, 2, 3, 3}",False,0.0,0.0
