series,n_episodes,avg_anger_mean,avg_anger_std,avg_anger_sem,avg_awkwardness_mean,avg_awkwardness_std,avg_awkwardness_sem,avg_frustration_or_despair_mean,avg_frustration_or_despair_std,avg_frustration_or_despair_sem,avg_humor_mean,avg_humor_std,avg_humor_sem,avg_joy_or_excitement_mean,avg_joy_or_excitement_std,avg_joy_or_excitement_sem,avg_sarcasm_mean,avg_sarcasm_std,avg_sarcasm_sem,avg_self_deprecation_mean,avg_self_deprecation_std,avg_self_deprecation_sem
1,6,0.2751920465504209,0.07142211551020775,0.02915795655835487,2.391329345531316,0.12775167490203357,0.05215440288265041,0.016799990877577067,0.0038300841237909546,0.00156362529587044,3.159227871608414,0.07351874330450946,0.030013901271117565,0.03701771053248881,0.01619126108453278,0.00661005465821458,2.098235319415122,0.15736131980805557,0.06424248979677591,1.7516978458049886,0.07702122441387048,0.03144378319639617
2,5,0.20138706400725584,0.07576685790852039,0.033883968945003826,2.358420434805633,0.08466751086970865,0.03786446195807418,0.00705363539929906,0.0029344409524364816,0.0013123218891214399,3.195150479904372,0.1608636493992138,0.07194041103306704,0.045901882660496864,0.020089153174900537,0.008984142421896664,2.020984515453926,0.11481030102999247,0.05134472752405545,1.6520083365809444,0.07635631069242288,0.03414758024387032
3,5,0.18478393932941944,0.07778725937594538,0.03478751994960435,2.421808567541242,0.09355181434441019,0.04183764325850822,0.01320677412716444,0.009937161420245746,0.004444033687811568,3.132877512985576,0.06793419205614845,0.03038109428681483,0.0555613721151104,0.028428601771629675,0.01271365721332698,2.070717039681174,0.08824152941263692,0.03946281164104065,1.573518912409637,0.05453099016549349,0.02438700017808319
4,7,0.15392824247756023,0.03948572613243699,0.01492420166903322,2.444343436800629,0.11119317040383092,0.042027068053909156,0.11333704070639879,0.2577890760599535,0.09743511228053592,3.1497110077055885,0.10679042615160923,0.04036298714282378,0.2008149039330271,0.4175688724086507,0.1578261988049929,1.9785577516760384,0.109126938873789,0.041246105942541814,1.5641656268544666,0.060892432418590485,0.023015176129342535
5,10,0.2017074485631647,0.05961720909881748,0.018852616849477755,2.3983056799876863,0.07269542904867274,0.022988313127697325,0.18122784086955315,0.3551261410784069,0.11230074624740503,3.1846718875226325,0.071872083424221,0.022727948380217213,0.2844527872015407,0.4909577126564351,0.1552544606820811,1.9798810174689803,0.14110150389426646,0.044620213358100035,1.6403332475769932,0.08057234352970893,0.025479212197141082
6,9,0.18224288691721602,0.06289985230203987,0.02096661743401329,2.367377982372658,0.0784741276239063,0.026158042541302103,0.2459509417162402,0.3450538467637216,0.11501794892124052,3.199170527984769,0.1326048789552466,0.04420162631841554,0.4515477689503729,0.5569455797638936,0.18564852658796452,1.9980619309020962,0.13724033941816483,0.04574677980605494,1.587189520533163,0.05533332218611705,0.018444440728705682
7,10,0.24766107008060695,0.05474683473266948,0.0173124692440051,2.3594055800524836,0.10278867663757009,0.032504633584925925,0.1732903211488888,0.3316276222423167,0.10486986213116363,3.212414928341726,0.13802091642589898,0.04364604606495872,0.3348151443939406,0.5623156535495181,0.1778198229182623,1.9665756303802495,0.08888885122911844,0.02810912284798718,1.5769104041782203,0.1014305877537285,0.0320751681711364
8,10,0.18689290997218738,0.05502268309755287,0.01739970015619157,2.4562387510910755,0.0933600648163132,0.029523044732049912,0.17235510882915372,0.32787193163283407,0.10368220847987653,3.1553870068942778,0.08614054341411324,0.027240031607321472,0.32097479523487993,0.5182736863888685,0.16389253003206314,1.9793907440232688,0.10251111383119169,0.03241686051873552,1.567603192407571,0.0670754150735922,0.0212111086633742
9,8,0.19206965236439383,0.055716177283662176,0.019698643389534698,2.4588105147370194,0.08820139266739202,0.03118390143260516,0.034246849596647255,0.01919705389610232,0.006787183494368791,3.221381896177641,0.08780721529610726,0.03104453868649229,0.09825621236930934,0.041832877335856486,0.014790155620364577,2.015662672129465,0.06467112078421669,0.02286469402672695,1.6538814492441776,0.058850122805941145,0.020806660454871038
10,10,0.2118050745719195,0.052289920138073535,0.01653552463046186,2.5040824588872326,0.10187886095272129,0.032216924603419114,0.09826995635021685,0.2395548613481547,0.07575389864260032,3.116103812355912,0.05345964326808191,0.01690542356272263,0.14748070886443634,0.29084000959779666,0.09197168650342694,2.0047612662011245,0.13342240386626572,0.04219186871122552,1.6087021472996788,0.08792685225944552,0.027804912062897015
