metric,metric_type,slope,intercept,r_value,r_squared,p_value,std_err,n_series,trend_direction,effect_size,standardized_slope,mean_value,std_value,min_value,max_value,weighted,p_value_fdr,p_value_bonferroni,significant_fdr,significant_bonferroni,trend_direction_fdr,trend_direction_bonferroni,metric_display
avg_anger,sentiment,-0.0008308893865220687,0.20404188332484263,-0.20614167192520574,0.04249438890411916,0.5832427268768696,0.0014837594648161436,18,no_trend,0.49229498913481723,-0.49229498913481723,0.1983247339174366,0.028692389487244892,0.14718449720548932,0.2751920465504209,True,0.6804498480230144,1.0,False,False,no_trend,no_trend,Anger
avg_awkwardness,sentiment,0.012223373977651409,2.351857477251449,0.7591133828036435,0.5762531279515909,0.00038210224721324515,0.002730912971432949,18,increasing,2.7121286273415097,2.7121286273415097,2.470487661494258,0.07661781064704208,2.358420434805633,2.58655575229291,True,0.002674715730492716,0.002674715730492716,True,True,increasing,increasing,Awkwardness
avg_frustration_or_despair,sentiment,0.0006017576534361484,0.011061097051410122,,-0.01637074079809442,0.0570201906611314,0.000293404361706835,18,no_trend,0.1034636262965985,0.1034636262965985,0.11733636933201574,0.09887416935386154,0.00705363539929906,0.3731888179931652,True,0.13304711154263993,0.3991413346279198,False,False,no_trend,no_trend,Frustration/Despair
avg_humor,sentiment,-0.007272779356292309,3.1888267573678113,-0.47809342123517395,0.22857331942835346,0.018096380399635903,0.0027624836263782683,18,decreasing,1.9320021628377229,-1.9320021628377229,3.138951687018368,0.0639943636892057,3.0081377084763794,3.2437884832202415,True,0.06333733139872566,0.12667466279745132,False,False,no_trend,no_trend,Humor
avg_joy_or_excitement,sentiment,0.0011804587701254709,0.04024812720923427,,-0.060178527921184166,0.24954815403165442,0.0009879357144652627,18,no_trend,0.11234885135197921,0.11234885135197921,0.21238728441361895,0.1786204206864771,0.03701771053248881,0.757465564125294,True,0.43670926955539524,1.0,False,False,no_trend,no_trend,Joy/Excitement
avg_sarcasm,sentiment,-0.0025593111762898086,2.023498702934989,-0.37178503199789986,0.13822411001767942,0.2754345738610027,0.0022663585791580457,18,no_trend,0.9742193976124572,-0.9742193976124572,1.9977736649318025,0.0446596424825389,1.8975928480547515,2.098235319415122,True,0.38560840340540375,1.0,False,False,no_trend,no_trend,Sarcasm
avg_self_deprecation,sentiment,-0.0006576948862402564,1.6172170631189577,-0.15321846690030042,0.023475898599278455,0.7809378670498508,0.0023254546661778475,18,no_trend,0.22700408365435806,-0.22700408365435806,1.611039863683918,0.049253797051107405,1.5155123740071155,1.7516978458049886,True,0.7809378670498509,1.0,False,False,no_trend,no_trend,Self-deprecation
