,PC1,PC2
pct_1s,-0.4380244811576218,0.6541895216156552
pct_10s,0.4330170540041356,0.6960747504240823
mu,0.5696189631853029,0.19030347987271448
sigma,-0.544210457110001,0.2264963513583971
