season,episode,episode_id,title,imdb_id,hist1_pct,hist2_pct,hist3_pct,hist4_pct,hist5_pct,hist6_pct,hist7_pct,hist8_pct,hist9_pct,hist10_pct,avg_anger,avg_awkwardness,avg_frustration_or_despair,avg_humor,avg_joy_or_excitement,avg_sarcasm,avg_self_deprecation,contestant_avg_age,contestant_prop_female,contestant_prop_comedians,contestant_nationality_diversity,contestant_avg_experience
9,6,9_6,Rock 'n' Roll Umlaut,tt8047820,1.5,0.5,0.5,0.0,2.0,4.9,24.6,35.0,10.8,20.2,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,36.6,0.6,0.8,4,38.0
9,7,9_7,This is Trevor,tt10382878,1.5,0.5,0.0,1.0,0.5,3.0,26.0,33.0,10.5,24.0,0.2913043478260869,2.5217391304347827,0.0260869565217391,3.256521739130435,0.1217391304347826,2.11304347826087,1.7173913043478262,36.6,0.6,0.8,4,38.0
9,8,9_8,Aquatic Sewing Machine,tt10382880,1.5,0.5,0.5,0.0,0.0,4.0,22.1,35.7,11.6,24.1,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,36.6,0.6,0.8,4,38.0
9,9,9_9,I've Been a Bit Ill,tt10383296,1.5,0.0,0.5,2.0,0.0,3.0,15.0,35.0,15.5,27.5,0.1458333333333333,2.4791666666666665,0.0166666666666666,3.1166666666666667,0.0708333333333333,1.9541666666666664,1.725,36.6,0.6,0.8,4,38.0
9,10,9_10,Clumpy Swayey Clumsy Man,tt10457130,1.5,0.5,0.0,0.5,2.0,2.5,15.3,25.2,20.3,32.2,0.2018348623853211,2.376146788990826,0.073394495412844,3.2660550458715596,0.0779816513761468,2.0091743119266057,1.6605504587155964,36.6,0.6,0.8,4,38.0
10,1,10_1,God’s haemorrhoid,tt8046986,1.9,1.5,1.9,1.9,2.7,5.4,21.9,30.8,9.2,22.7,0.1793103448275862,2.406896551724138,0.0448275862068965,3.1,0.0620689655172413,2.086206896551724,1.5689655172413792,41.4,0.4,0.4,2,22.333333333333332
10,2,10_2,A documentary about a despot,tt8047830,2.6,1.3,0.4,3.0,3.0,6.0,28.4,27.2,7.8,20.3,0.2167832167832167,2.506993006993007,0.0314685314685314,3.1433566433566433,0.0664335664335664,1.937062937062937,1.611888111888112,41.4,0.4,0.4,2,22.333333333333332
10,4,10_4,Toshwash,tt8047832,2.8,1.4,0.5,1.8,4.6,6.4,26.1,27.1,10.1,19.3,0.2013651877133105,2.569965870307167,0.0204778156996587,3.136518771331058,0.0511945392491467,2.0102389078498293,1.5563139931740615,41.4,0.4,0.4,2,22.333333333333332
10,5,10_5,I hate your trainers,tt8047836,3.2,1.4,0.9,2.8,4.6,4.6,23.1,25.0,10.2,24.1,0.1310344827586207,2.713793103448276,0.7793103448275862,3.1758620689655173,0.9724137931034482,2.189655172413793,1.7137931034482758,41.4,0.4,0.4,2,22.333333333333332
10,6,10_6,Hippopotamus,tt8047838,2.9,0.5,0.5,2.4,1.9,4.8,22.5,30.6,11.5,22.5,0.2895622895622896,2.5454545454545454,0.0101010101010101,3.124579124579125,0.037037037037037,2.006734006734007,1.6228956228956228,41.4,0.4,0.4,2,22.333333333333332
10,8,10_8,Moments of silence,tt8047842,2.5,1.0,1.0,3.5,3.0,8.0,27.1,25.6,7.0,21.1,0.2589285714285714,2.4776785714285716,0.0178571428571428,3.080357142857143,0.0491071428571428,2.0357142857142856,1.6696428571428572,41.4,0.4,0.4,2,22.333333333333332
10,9,10_9,Air Horn Andy,tt8047848,3.3,1.6,0.5,1.1,2.7,6.0,23.4,30.4,9.8,21.2,0.2631578947368421,2.5020242914979756,0.0242914979757085,2.9919028340080973,0.0080971659919028,2.0242914979757085,1.639676113360324,41.4,0.4,0.4,2,22.333333333333332
10,10,10_10,Dog meat trifle,tt8047850,2.6,0.5,0.5,2.6,1.0,7.3,21.5,29.3,13.6,20.9,0.2124542124542124,2.388278388278388,0.0109890109890109,3.10989010989011,0.0732600732600732,1.827838827838828,1.5824175824175823,41.4,0.4,0.4,2,22.333333333333332
11,1,11_1,It’s not your fault,tt13667104,0.0,1.2,0.0,0.4,0.8,5.8,23.5,27.6,17.3,23.5,0.1626297577854671,2.42560553633218,0.0276816608996539,3.0519031141868513,0.0657439446366782,1.9480968858131489,1.7335640138408304,39.6,0.4,0.6,2,18.666666666666668
11,2,11_2,The lure of the treacle puppies,tt13667110,0.0,0.9,0.0,0.0,1.3,4.5,23.2,25.0,19.6,25.4,0.3089700996677741,2.514950166112957,0.0166112956810631,3.0299003322259135,0.0265780730897009,2.2458471760797343,1.6511627906976745,39.6,0.4,0.6,2,18.666666666666668
11,3,11_3,Run up a tree to the moon,tt13667132,0.4,0.4,0.9,1.8,2.2,5.8,30.0,26.0,12.1,20.2,0.2181208053691275,2.610738255033557,0.0268456375838926,2.9832214765100673,0.0436241610738255,2.1241610738255035,1.580536912751678,39.6,0.4,0.6,2,18.666666666666668
11,4,11_4,Premature conker,tt13667142,0.5,0.0,0.5,0.9,0.9,4.7,20.3,24.5,20.8,26.9,0.1796610169491525,2.6915254237288138,0.023728813559322,2.9593220338983053,0.0067796610169491,2.0203389830508476,1.6271186440677967,39.6,0.4,0.6,2,18.666666666666668
