,PC1,PC2
pct_1s,-0.4642416330106255,0.5911574723451661
pct_10s,0.4056349838175741,0.7417240494012801
mu,0.5629761567094574,0.19624797618776274
sigma,-0.5504523712907351,0.24872677634796186
