series,PC1,PC2
1,0.9228888156992158,-0.45730378166267
2,0.24332672119814946,0.20303444460232695
3,1.2870719716726697,-0.29009012125345185
4,1.4304314182671094,0.4988394955829996
5,1.3920534838676077,0.9104426441837427
6,-1.4551336926620342,-0.6777502198518505
7,1.698599447519597,1.3862178067356472
8,-0.12328444386287336,-0.6899518066859112
9,0.8683354328746089,0.2826558664686411
10,-2.344852867813506,0.09673399005802771
11,1.0750186913453763,0.4412118168287149
12,1.3507602843051434,-0.08133865661732635
13,0.7503396752706297,0.23965633778010867
14,1.512703624964146,-0.3930361164089493
15,-1.919476433322278,-0.3408439159402363
16,-0.6220282178546603,-1.3256940162638453
17,-1.774156456361774,-2.0891757053947715
18,-4.292597455107126,2.2863919378388036
