series,a_1,a_10,a_gaussian,mu,sigma,pct_1s,pct_10s,total_votes,episode_count,overall_mean,imdb_rating
1,0.007619970916141542,0.214167716917111,0.7779122636936501,7.875,1.0917302780449025,0.7619970916141542,21.4167716917111,2063,6,8.269979641299079,8.116666666666667
2,0.014152575957727873,0.22906406869220602,0.7570085865257595,7.818421052631579,1.2093978340315876,1.4152575957727873,22.906406869220604,1514,5,8.215974240422721,8.1
3,0.010745895788722341,0.22673090649536043,0.7631256245538902,7.861971830985915,1.0230718078850263,1.0745895788722342,22.673090649536043,1401,5,8.272152748037117,8.1
4,0.010367429340511441,0.2616455809780171,0.7283418573351279,7.86428130783467,1.0746767982425374,1.036742934051144,26.16455809780171,2229,8,8.350417676087933,8.1625
5,0.011243457943925235,0.2816981308411215,0.7075532710280372,7.811507936507937,1.0951068905768349,1.1243457943925235,28.16981308411215,2140,8,8.354107476635514,8.1125
6,0.020732747252747246,0.19122945054945054,0.7878294505494505,7.424734191382205,1.2352377885941477,2.073274725274725,19.122945054945053,2275,10,7.7794879120879115,7.640000000000001
7,0.013929433611884864,0.29895032497678736,0.6872353760445682,7.881436314363143,1.0970060743883565,1.3929433611884863,29.895032497678738,2154,8,8.417018570102137,8.3
8,0.010940840685002595,0.21121172807472754,0.7778245978204462,7.548862115127175,1.1103544140331332,1.0940840685002595,21.121172807472753,1927,9,7.988292163985469,7.720000000000001
9,0.0152044911610129,0.25421022455805065,0.7305953177257524,7.68983606557377,1.0590105059979473,1.52044911610129,25.421022455805065,2093,10,8.17094027711419,7.93
10,0.026952603861907547,0.21544002340550025,0.7571222937390285,7.271528316524438,1.365928383371529,2.6952603861907547,21.544002340550026,1709,8,7.678646576945582,7.5200000000000005
11,0.002708849151765245,0.2705135259055479,0.7263640531866117,7.717721518987342,1.1206078248575055,0.2708849151765245,27.05135259055479,2181,10,8.309967904630904,7.95
12,0.0015413090128755366,0.25376448497854076,0.7446695278969957,7.732658959537572,1.0379656539213158,0.15413090128755366,25.376448497854078,1864,10,8.293618025751075,7.93
13,0.01053395913859746,0.24911430149088895,0.7400463832136941,7.739880059970015,1.1197887399845108,1.053395913859746,24.911430149088893,1811,10,8.221767531750414,7.970000000000001
14,0.0008076923076923077,0.2432416387959866,0.7555275919732442,7.747497219132369,0.9914438571345764,0.08076923076923076,24.324163879598657,1196,7,8.277295150501672,7.94
15,0.025955015197568394,0.19222553191489364,0.7818954407294835,7.432579890880748,1.3174641317892477,2.5955015197568394,19.222553191489364,1645,10,7.755890577507599,7.74
16,0.003141065830721003,0.1837128526645768,0.8131134796238244,7.5208978328173375,1.1706008348874803,0.3141065830721003,18.37128526645768,1595,10,7.952081504702194,7.68
17,0.014757387247278384,0.14146578538102644,0.8435536547433903,7.311748381128584,1.1525384426375216,1.4757387247278384,14.146578538102645,1286,10,7.593668740279937,7.51
18,0.10767650918635172,0.21655905511811027,0.6756843832020997,7.248046875,1.424189768887115,10.767650918635171,21.655905511811028,1524,10,7.163730314960631,7.540000000000001
